,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
stays[3493],0.37139104941202533,0.004378459152593113,0.08484814418136041,0.19245429411814194,0.3160929794949744,0.37415591345183274,0.43138956858749494,0.5272325062463983,375.5277979657478,1.0104685949901888
stays[3494],0.11620805675472565,0.006314566851408899,0.10643335350535106,-0.06930974078660287,0.037649304042666476,0.10754904310487978,0.1919723690382249,0.32358382010539555,284.0981210448577,0.9987050406156213
stays[3495],-0.025498186193684574,0.006693376055260309,0.09925687332473561,-0.20396603472061292,-0.09862516347745678,-0.024944082338264728,0.05303385163260416,0.15912263631164328,219.90278489201356,1.0167468782807942
stays[3496],0.3246567283129484,0.006363700917330945,0.10095176233867124,0.12806914649157228,0.2587706353192261,0.3247073895881878,0.40046321483119607,0.5027042370096036,251.65657931612233,1.0086022854529775
stays[3497],1.1759528270860773,0.00529797214326504,0.11016008667482552,0.9564360157951857,1.0946098729129459,1.1777742400609623,1.2420745719960922,1.408668067125016,432.34376180623946,0.9988800858027317
stays[3498],0.06448807672137563,0.008850411825557614,0.09848371566320391,-0.11245928372887373,0.0022152844088306704,0.06200003187420086,0.13188516576403703,0.2567197317319557,123.82316248996581,1.0144684352874567
stays[3499],-0.34399561261279904,0.006560460580893014,0.10419912581933467,-0.555081932346823,-0.4211548415169453,-0.34332394364824603,-0.26721836815992994,-0.15848053146487365,252.26644684471356,1.0075323699077976
stays[3500],0.10811263866126403,0.004223319002864163,0.10150313153193931,-0.09119410025824062,0.04417697221418861,0.10298299225773194,0.176515170981701,0.31369491559316015,577.6318199991264,1.0000964511391035
stays[3501],0.4276915849792259,0.006250477448711146,0.10231870575075307,0.24328656118867914,0.3507597825239407,0.4242199878085615,0.4916350471451931,0.6449556786020292,267.968466443192,1.0112802932390217
stays[3502],0.2613438669083562,0.0036333718882363888,0.09179604553189633,0.0833323317751376,0.20270548808620226,0.2593643097955557,0.3205684035869566,0.42463678185397846,638.3049935950419,1.0045777441870816
stays[3503],0.23131205693023518,0.0038155502300048563,0.09660725855082565,0.047251299900167035,0.17076388738714457,0.22282926143667242,0.30102842485535897,0.4220990265067085,641.0695751310366,1.0006595822121565
stays[3504],0.4973368299608337,0.004324211405714564,0.08950867455957832,0.3238192981543071,0.431452582529668,0.4957571872404575,0.5568216710827011,0.6791291959808093,428.46605060301687,1.0093155602754196
stays[3505],0.10928950021981848,0.003807445708398219,0.08350890448454222,-0.054439686776731035,0.05138567491019883,0.1132870547406562,0.16357878065958678,0.2759958881016262,481.05876744322296,1.0049572582183701
stays[3506],0.23778689742118167,0.006373554978651103,0.10357648211174578,0.040507316903395915,0.1622543048182138,0.24364859847989637,0.32666866399084077,0.4155542083702176,264.09418586294015,1.0026851305104827
stays[3507],-0.36347610055779483,0.0038601383666062913,0.09209844315064429,-0.551558574737053,-0.41965592075426605,-0.371184968605499,-0.2990716987951251,-0.18533710693707428,569.2444869990707,1.0014364797422173
stays[3508],0.3343509174843223,0.003351721523391204,0.08278100861716517,0.16892141213192052,0.2751207434003977,0.3392646369905745,0.38795297004684637,0.4944590795990064,609.9940105016785,0.9989896659188469
stays[3509],0.5308540514285424,0.006277133857092722,0.10294460773170402,0.34672951788963874,0.4465872783879023,0.5264050204456922,0.6041494176598448,0.739610110371785,268.95797506572427,1.0086184086230743
stays[3510],0.38475871019649716,0.008287191904301475,0.1029099038479191,0.2026561644665224,0.3127082812281489,0.38163719257434864,0.4517714087850581,0.5903212948453348,154.20538971782167,0.9986955704769227
stays[3511],0.11696901196109462,0.006448233913219038,0.0975855066093984,-0.07142376300021971,0.04421155367532566,0.11336127493541809,0.1867440274591263,0.30904957264157534,229.0282609620824,1.008826288382502
stays[3512],0.40190525409694844,0.005351185829813934,0.1328831610902129,0.16611376546242282,0.30425911127991623,0.39196510778065763,0.49282828244915095,0.6740165635157366,616.6515617246939,1.0011045559986558
stays[3513],0.9979170172845009,0.005789470638359443,0.1259544871319939,0.7472933778186249,0.9200620424925023,0.9972636092410381,1.0828389723827936,1.2681759069842486,473.31424605190784,0.9986661974377745
stays[3514],0.39944583560963776,0.004889269544948768,0.1031187597635218,0.183791260675087,0.3296219181596203,0.40435297008406046,0.46768385576188337,0.5889839715151811,444.82317019449664,0.9992634128801618
stays[3515],0.8045711444927534,0.014442797118577969,0.13071201273240543,0.5587588092410323,0.7277638155443764,0.8121873909614474,0.8921492483503781,1.0570044002341759,81.90838874688768,1.026522221920214
stays[3516],0.7572033429018639,0.004450285174501575,0.11467252520205623,0.5197884449813365,0.684683440893213,0.7525077529617152,0.828064239344685,0.9906534868326984,663.9617630113806,0.9986767756931219
