,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
stays[3988],0.10067923260597593,0.003835754609845883,0.12046968070354909,-0.13607644443979383,0.025711471552308827,0.09817536663040005,0.17581683591065728,0.3447684981933796,986.4018707566495,0.9987175600777315
stays[3989],0.5387832178500519,0.0032466927549537265,0.10157306062252532,0.35069205078405435,0.47289844975611206,0.5352177263301778,0.6057925477420091,0.7534576154188556,978.7565784341924,1.0003722315077814
stays[3990],0.28507644722462167,0.0029905392523552022,0.09658321534993589,0.08848100568553732,0.22380150221632228,0.28599021576211725,0.3488574016716182,0.46620785180968505,1043.0480237047411,0.9987291295115373
stays[3991],0.21263595071107405,0.00266332669985198,0.09736663837815414,0.012626246912407716,0.14945985777142698,0.21413811420671072,0.2730641664924433,0.4159005509532682,1336.5077035066918,0.9991738244866523
stays[3992],0.014896656786695373,0.0029005548777538623,0.09807853182672827,-0.1880303503394158,-0.054763540413706735,0.017002904450607627,0.08494224195714371,0.1939312129841134,1143.3672253075674,0.9992021228651577
stays[3993],0.4228591602115628,0.002690134914430955,0.10697637893029402,0.21140769619483518,0.3555656740731007,0.4232182397089862,0.4964641967365352,0.627133869820413,1581.3487672415636,0.9997231539035956
stays[3994],-0.1575364801974082,0.0037271108589031106,0.11234472970272759,-0.39767908644178174,-0.22723716086587198,-0.15832365884955563,-0.08120228246709642,0.059997844518761397,908.5750072502278,1.0010404277147171
stays[3995],0.13408643261571748,0.003382134374979673,0.1013156188085232,-0.06619535688508625,0.06946386924295536,0.1322361266993383,0.19964528950234514,0.3357023869193746,897.3690477860538,0.9988553305403671
stays[3996],0.2599097386491779,0.002812652802071253,0.1083812015154684,0.03780555405352118,0.18931893490499002,0.2613891208923542,0.327309129375448,0.47442528864768657,1484.8263688476077,0.999685713334668
stays[3997],0.0919057867154465,0.0032031438724735915,0.1041541773768362,-0.1044080606585501,0.019274223986473486,0.0926653375214996,0.16213681768424468,0.29409220709868894,1057.3055077288222,0.9992108891958109
stays[3998],0.08909115639632086,0.004156884801268413,0.11071027306423133,-0.1318947492314297,0.012529917323497196,0.08857613383911381,0.16296706028124258,0.31975843851129626,709.3161783915416,1.000860465923713
stays[3999],0.13962898413054456,0.003211481281166827,0.10815934537137871,-0.07745395183116845,0.06513631715419368,0.13963198553713776,0.21808732038692086,0.34541915714301874,1134.2722577978334,0.9986773999513996
stays[4000],0.07147890255817152,0.003498172320429528,0.11979819982499415,-0.16570806853380782,-0.008157741348326093,0.06895843020607446,0.15704721415211742,0.2889419684904122,1172.784414900829,1.0021520645500777
stays[4001],0.15917636118289302,0.002681361443689375,0.10217565012077594,-0.031830994213712466,0.08956125968166115,0.16018081402073742,0.23109569235074828,0.3569629817888488,1452.0584518542225,0.998750164854419
stays[4002],0.30064576986883895,0.0030176547213966493,0.09657113019288432,0.10261545470919954,0.2360646819986828,0.30907809703929134,0.3697445390479315,0.4765819819905038,1024.1310539519718,1.0027641628376986
stays[4003],0.32077065080076694,0.0038867437041777654,0.1029073480620356,0.120782608262787,0.24779643071554389,0.3189032514653457,0.3909367446390252,0.5133964600344121,701.0047576769634,0.9989938456746994
stays[4004],0.06275274936120769,0.0030493798567051865,0.09444334428074673,-0.13352568938680093,0.0023688450462261246,0.06539397479925885,0.1265383294492794,0.2522807284356814,959.2231690961282,1.0015883053484895
stays[4005],-0.3120576626547038,0.004215453528106226,0.1194223728562069,-0.5608999652663245,-0.3905365384142052,-0.3077814427165093,-0.22998421141319594,-0.0821738745507716,802.5697386612596,0.9986746956118528
stays[4006],-0.3065409958990765,0.0036073112777375467,0.117258799319359,-0.5425008284373819,-0.38538214601206383,-0.3040466440219584,-0.22643462026104677,-0.0837527094662586,1056.631726394256,1.0006805862911026
stays[4007],0.03984139877532775,0.0067339093203856015,0.21919900752805277,-0.4001139746797768,-0.10177615898612279,0.04729711097337862,0.18430910169074147,0.4726235995283443,1059.6016825447357,0.9987326751904866
stays[4008],0.15119719035200896,0.0036740185738856007,0.10878576529171412,-0.06302264139192475,0.07551404657629344,0.1509931533804985,0.22582071458337263,0.3634556530921174,876.721077129391,0.9992644374608882
stays[4009],0.05915167425498255,0.0028549342445547458,0.11451625277896556,-0.1655590189876145,-0.020951070928351245,0.05866227559209384,0.1356388427124187,0.2774486091372564,1608.9481071418004,0.9990455602610592
stays[4010],0.230297485167463,0.0038260001042181285,0.10937904117160901,0.01802943016952391,0.15855295693396823,0.22967026475625812,0.30755981440382146,0.45289108005231515,817.2939214868833,1.001522838418466
stays[4011],0.04993345755570004,0.0034127525928523764,0.10693150430596148,-0.16380279528815403,-0.024012540260603437,0.05038579584447821,0.12573896928372347,0.24849714660881134,981.7518818653688,0.9987660597659267
stays[4012],0.16596943624540417,0.0034787504140139478,0.12236301621765144,-0.08796718213496374,0.08438676400627919,0.17008149914400578,0.2525082567754615,0.3980045360005881,1237.2395812838718,0.9987648934702569
stays[4013],0.14464735395734593,0.003409825193449417,0.12148868984775803,-0.10304288471037673,0.06314602637368844,0.14342493425071182,0.22551670576370092,0.3945875098676479,1269.4262267739643,0.9988555555772154
stays[4014],-0.30680455038985893,0.00391869263798087,0.11401849872725815,-0.5343726633103898,-0.38240712577616226,-0.30030341513494957,-0.2326651493836216,-0.09616680598411456,846.5804492991618,1.0001586963174145
stays[4015],-0.022961377009439975,0.003547416269283403,0.09742899220874231,-0.2147489808474657,-0.09218855755394716,-0.02123912661822519,0.042833590776478865,0.1613103233738487,754.3139051547134,1.0069483027208623
stays[4016],0.10676386942055838,0.0037077101686833814,0.13360410797132244,-0.15835242854889328,0.020081082644301623,0.10534517012672542,0.20141181696335775,0.3430457625251765,1298.458481135639,0.998705040506101
stays[4017],0.06988187701801242,0.0033307460115655396,0.1087609820295194,-0.14410050947407355,-0.005422986954932541,0.0666321832151907,0.14900891110456652,0.293202460025038,1066.2602216496718,0.9987677005405692
stays[4018],-0.07017779559839378,0.004303649784667393,0.13013972489904643,-0.33715959044098925,-0.15471122687095049,-0.0633010922517703,0.011932442390614167,0.2000483420899535,914.4204354667553,0.9987934969029689
stays[4019],0.25777324814560815,0.0036228785022552256,0.11850656731523096,0.021226312781086085,0.1840698789073266,0.26463857187594614,0.33299813957547425,0.490964073852142,1069.984034572096,1.0022964482192898
stays[4020],0.29743045823753284,0.003308290400415826,0.11262127695724775,0.08026447581324916,0.22102122667163565,0.29357075076076555,0.38247093927490267,0.5032348444392544,1158.8671308448124,0.9988349394894148
stays[4021],0.2593251596041825,0.004822495330243555,0.13630358895469183,-0.010329131005992998,0.16376449932637427,0.2563349471174786,0.35289484274252486,0.5299053265969074,798.8605056458254,1.0011711551346643
stays[4022],0.550621441123021,0.00338165055531294,0.11442519925529193,0.3202678026900817,0.4727498407043649,0.5502345881968986,0.6264361388790652,0.7775083284823967,1144.9483608186774,1.0008679149981787
stays[4023],0.3242818250523203,0.004499586098097021,0.11854083568866743,0.09856326175258985,0.24650072601779482,0.3161690687176572,0.403667755646159,0.5638683025448662,694.050124685083,0.9989700464607403
stays[4024],0.34605489298667425,0.004014042050799466,0.13194496500590894,0.09617252678326225,0.2571686821519271,0.3430194990582346,0.436954601158419,0.6122739598887624,1080.4926300345678,0.9992226591933594
stays[4025],0.20907412258714111,0.004849591245507194,0.1311942707393506,-0.031133164791160867,0.11611972561365878,0.20654195237973336,0.3012184419613433,0.4658822084143921,731.8456057303904,0.9987486281279878
stays[4026],-0.05345977519254732,0.004617008137990075,0.1306309610104599,-0.3169720641666408,-0.14209839804540694,-0.05308893491995171,0.03481728932123142,0.2086525771257851,800.5177454433186,0.9998217375181188
stays[4027],0.09466916667375362,0.0035201337078618286,0.1267636949009574,-0.15465555967725036,0.012542211441052602,0.09355931518086566,0.17514842085070764,0.3334246426242654,1296.7953935235766,0.9987295948178422
stays[4028],0.16161661895847437,0.0041180279987937515,0.11695147368310778,-0.06523820857439977,0.0898717263401627,0.15491335231233327,0.24970570649706944,0.3940799153054107,806.5528072010133,0.998854634092165
stays[4029],0.1194923022114308,0.0036686976135309694,0.12777049585869943,-0.12346676512604719,0.030995885000142206,0.12183599317831731,0.20690933206779996,0.3681214867854333,1212.9344357415425,0.9992147600168849
stays[4030],-0.004231623881618685,0.004611837567095366,0.12435016507314461,-0.2450817477880744,-0.08795251504190588,-0.0019237263331375568,0.08585074849820801,0.2342475468196455,727.0172690824916,1.0005819853497
stays[4031],0.4759810131619083,0.0034150173560883335,0.1177039546897797,0.24611460960301063,0.3974825654181377,0.47477554664926236,0.5575476642232352,0.7035630652731302,1187.944849957747,1.0055349661377673
stays[4032],0.3664688104406883,0.0036079307527688113,0.11566376579025706,0.13240491087042638,0.28518360046384394,0.3689266403645677,0.4458931932720725,0.5828022821929304,1027.7281895829935,0.998666209876063
stays[4033],0.2257164850910504,0.003234311378823891,0.11179130891685546,0.00010819787514536718,0.1573785617828603,0.22669651978418975,0.2957076479929848,0.4469029724111541,1194.6822877878358,1.0028432484871435
stays[4034],0.1845646605351598,0.003448868205499899,0.10049093981546253,-0.030411971224348525,0.12231661584860781,0.18657134625132127,0.24868238664945858,0.3900179662465406,848.9861755832385,0.9986766393202678
stays[4035],0.12405524946841687,0.004024113837042915,0.10911259966136308,-0.09658730957668848,0.05037308297167791,0.131840671919835,0.19487160370385712,0.33529763754882735,735.206419796119,0.9998944745157664
stays[4036],0.27875633352787044,0.003532950962502639,0.1053350031090709,0.07410395264093624,0.2108773055306143,0.2745457134261512,0.35036998753618837,0.4943040512881643,888.9354092125069,0.9986669847205932
stays[4037],0.44014288054641565,0.003931959693533752,0.10955451660138754,0.2156902236686386,0.369220999174411,0.4434776670641417,0.5143164777775941,0.6425403724207516,776.3230111311533,1.0098676266487985
stays[4038],0.3095785819834804,0.0032457942422936016,0.10148925936816833,0.12068501620118607,0.2393499625734174,0.30682920098988836,0.3759289557277384,0.506586285600938,977.683296314745,0.9989872674075384
stays[4039],0.5913824669564245,0.0031025795080007203,0.11884821526154005,0.34837844042074456,0.5131353867257046,0.593607483098451,0.672640147850968,0.8183450349649388,1467.3695047491449,1.000178591929747
stays[4040],0.6585846266619936,0.0034175100216583673,0.10183037901806921,0.45781582545291566,0.5860946995152042,0.6562617881294404,0.7296653200152587,0.8660583735894607,887.8408574584971,0.999012420921716
stays[4041],0.5113242229106627,0.0034040173099953034,0.11434967323472717,0.2816733399664286,0.43248598008373074,0.5183132140189151,0.587469139445745,0.7347122015188196,1128.4604329026918,0.9986677132770154
stays[4042],0.24520195422209987,0.003252935341735266,0.09642565758035294,0.05202640889233572,0.17576821696855627,0.2491266854713235,0.31396208588817776,0.4275334417286624,878.6873145351558,0.9988732718446334
stays[4043],0.29388316195619574,0.0031285832075456346,0.09985032987538052,0.0999605968285145,0.2272991200668259,0.2943812088184513,0.3647127823424762,0.48582664103705014,1018.5998036373779,1.0031114216111157
stays[4044],0.2950836583568013,0.0031890036964938914,0.10517188377542842,0.08358744871070659,0.22496940516943473,0.29586487052974386,0.3664007147650339,0.5039336568761141,1087.6502407643613,1.0014805797814048
stays[4045],0.27183425046525367,0.0031633351157748977,0.09775817419226637,0.06692527315871336,0.2051120309430565,0.2719621277997093,0.3435823006823487,0.4567017726188417,955.027239196769,0.9994811116044996
stays[4046],0.3238737007984559,0.0025277685603733433,0.0831684941456612,0.1560136052816843,0.27236971752953154,0.32293726681225066,0.3798910213019923,0.49471832593976833,1082.5377765115304,0.9987983206950052
stays[4047],0.6005488213683237,0.0030043283574294026,0.09733749816360764,0.41274027651144607,0.536569903306243,0.6012113663208312,0.6651177951571413,0.8075163399505595,1049.7008887886998,1.0001246111071258
stays[4048],0.5462278935567129,0.0036890278413816476,0.10451894290042794,0.3276379743993607,0.47620992963158665,0.5455014443579502,0.6137580227425132,0.7562120530381133,802.7238220196635,0.99945897459997
stays[4049],0.4554272439518718,0.002435913402789837,0.0961771893363935,0.2548573393848571,0.39502512295345826,0.4589733208179479,0.516432730987293,0.6415890292957905,1558.9079520671187,0.9989776502122931
stays[4050],0.5123460649218708,0.0034731209128333173,0.10526623730162399,0.3172294750989894,0.4408950235602431,0.5091696369006995,0.5786398108507353,0.7354092168568398,918.6252804293073,0.9987630507473649
stays[4051],0.3277786005843816,0.0022850768195467287,0.08329893070775078,0.15597237310314843,0.2679057385089345,0.3311364702654203,0.3840688242996858,0.48380947238461536,1328.8539250219999,0.9988874936152757
stays[4052],0.3947338530936251,0.0032472231089440903,0.09926201853031007,0.18266054012216096,0.3304531070257758,0.3935246980687238,0.4586447872453902,0.5976784898208178,934.4196162719952,1.0050023523077125
stays[4053],0.5359167992009628,0.0030799838647376783,0.11988777831891528,0.29909834705036187,0.4531784880156143,0.5348151954312756,0.6230574539969044,0.7733204344030613,1515.1406207359748,0.9986847772212268
stays[4054],0.6472326838804418,0.0026132628225242183,0.09872721162128147,0.45057144289253365,0.5799439224118746,0.6488024744656757,0.7166914193283555,0.8401793726797677,1427.274683596138,1.000479786341858
stays[4055],0.5688560923747429,0.00327518169792148,0.09954173177480032,0.3793499397190827,0.49623844262589833,0.5681827575026612,0.6343544358148542,0.7803402076849449,923.7183844509605,0.9991580438241423
stays[4056],0.44071682461333345,0.0027075634046856193,0.09541151721370394,0.2390034316948372,0.37634066893040535,0.44371864274825357,0.5060786643938432,0.6187640911092166,1241.7790620063827,0.9992525681923085
stays[4057],0.4816948294194896,0.0023387545803415987,0.08617151834435549,0.30714098490832953,0.4227360219820183,0.48252805097519846,0.5393381348352633,0.6570942960427796,1357.5573595698454,0.9986674792427302
stays[4058],0.20650736551191326,0.0029728330775234332,0.0981260369121663,0.021540870967559606,0.13593443799992183,0.20756582724545847,0.27953438306311423,0.38493498229668477,1089.5005879231871,1.00092350552875
stays[4059],0.30126943035045095,0.0027382477099458817,0.09886034383831263,0.1134039267437645,0.23238329151688444,0.3040770679010091,0.3678058477072031,0.4862320522714586,1303.4631774731897,1.0035238605327286
stays[4060],0.564797707579263,0.0026628283672719983,0.10551536711595548,0.34810906003249875,0.4957485388089658,0.5588299946280795,0.636827631944132,0.7672598888023934,1570.164227896856,0.9989520738618163
stays[4061],0.49325918809317615,0.003051410730661651,0.0935034396896394,0.31104216013459496,0.4242599012568069,0.4935289137242792,0.5583162766486173,0.6858084957625884,938.9745831389704,0.9997330242021377
stays[4062],0.4041608153888649,0.0035950138753337506,0.10197466723638862,0.20261814117971044,0.3329880143912728,0.40540294725465353,0.47683642059037756,0.6050661050397587,804.6063426333513,0.9990270486772529
stays[4063],0.5156858967548488,0.0020846188267133873,0.0976017973790901,0.3194001751961391,0.4521824243260418,0.5167250345922891,0.5835984920261645,0.7050129541559076,2192.109880573349,0.9987014625189377
stays[4064],0.5998472649531525,0.004099017740770808,0.10214492545299338,0.3942452825869381,0.5347746975010951,0.601805770936729,0.6692260952817827,0.7990933550422709,620.9748277428164,0.9986774456596937
stays[4065],0.4392384898637953,0.003121179686209249,0.09504610854265204,0.25832986332691477,0.3747678075919176,0.4350257781372214,0.5048838254929603,0.6342205780893777,927.3232256695159,0.9992975942870171
stays[4066],0.2711287016526419,0.0025896646231032025,0.10152623624551341,0.08343269362774472,0.20215531361927302,0.26884746385980507,0.3443052156528505,0.4638511762497871,1536.9846310322957,0.9989005826834552
stays[4067],0.21629824383543056,0.002464334939057644,0.09283757816819824,0.02764553512762973,0.1536324025104154,0.21753765809198264,0.2817904783404583,0.39741660244401433,1419.2148157151423,0.999203095317994
stays[4068],0.13146650102362026,0.0029214953001688473,0.0959905063943362,-0.053823239812344936,0.06954334737101771,0.1305562048608006,0.19548105796690116,0.32704066045355634,1079.5585009172728,0.9987095605806088
stays[4069],0.46112281929100435,0.00290236551145056,0.1042285552468204,0.2620862380717029,0.3922301995710528,0.4600460087281928,0.5334679052801841,0.6648569924200514,1289.642171840393,0.9996044831016566
