,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
alphas[2402],0.22456220332373694,0.004112116499604602,0.12760991607598732,0.021503753661752514,0.1290386019396026,0.21224495814336425,0.30164601737952956,0.500964371509716,963.0260298932048,1.0007754660993795
alphas[2403],0.2429244986010358,0.004394869855132426,0.1267095387119355,0.03257906648437194,0.1480583853574721,0.23719215449444803,0.31855249197668256,0.5209959869934739,831.2402838200009,1.0000270329810863
alphas[2404],0.21441503194102698,0.004283997308413294,0.1170217279992736,0.017333564051616505,0.13007713099140955,0.20927506956046454,0.2871356402157944,0.4671899562324666,746.1645895622063,0.9990059321634719
alphas[2405],0.20760435728319962,0.005585052941845005,0.1246654394272159,0.01662336214168803,0.109212391879416,0.19765071159476777,0.2837483704264191,0.48789534523508804,498.23881263604886,1.0011496427149615
alphas[2406],0.26791643678565025,0.004149843780999129,0.1291862754195493,0.03643753956384435,0.17957765875828485,0.26363528947267806,0.3440590014488554,0.5521299783197768,969.1014827851941,0.9998009245460686
alphas[2407],0.22920664370778165,0.004050149899127826,0.12195988342447134,0.026480140528504365,0.14002832543699117,0.22203118997350083,0.3064802279052947,0.49174876241065346,906.7588583084117,1.0014493746773414
alphas[2408],0.23490734818931946,0.0034875229729039205,0.11682300825820255,0.036504594796307535,0.15315207021966068,0.22609711419616524,0.3050185446336123,0.5012309827904382,1122.0768868466869,1.000236273689149
alphas[2409],0.3000706584669877,0.004456687905732429,0.12265637658951005,0.07816349110370613,0.21542277581956876,0.29095787589727273,0.3790084496105719,0.5529105830865394,757.4532222944033,1.0008077766314385
alphas[2410],0.8894394437212089,0.003290980961427247,0.13033839312606185,0.6506410785078098,0.8038159835317784,0.8804895952916749,0.9721980117980409,1.155822048223061,1568.5341741752625,0.9999781512076794
alphas[2411],0.6824798188296531,0.007241731895432244,0.19834381059412703,0.29561716702126306,0.552235857385863,0.6862754954186685,0.8175341800932664,1.0671264770112967,750.1574398347936,1.0007489489883512
